
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 1 tra_loss: 16.3009, tra_acc: 0.2595, tes_acc: 3.0497, tes_loss: 0.3142, best_acc: 0.3142, best_epoch: 1
Epoch 2 tra_loss: 6.1157, tra_acc: 0.2665, tes_acc: 2.9756, tes_loss: 0.3142, best_acc: 0.3142, best_epoch: 1
Epoch 3 tra_loss: 3.9427, tra_acc: 0.2679, tes_acc: 1.9176, tes_loss: 0.2414, best_acc: 0.3142, best_epoch: 1
Epoch 4 tra_loss: 2.2877, tra_acc: 0.2588, tes_acc: 1.4402, tes_loss: 0.3142, best_acc: 0.3142, best_epoch: 1
Epoch 5 tra_loss: 1.7855, tra_acc: 0.2820, tes_acc: 1.6147, tes_loss: 0.1303, best_acc: 0.3142, best_epoch: 1
Epoch 6 tra_loss: 1.6158, tra_acc: 0.2764, tes_acc: 1.3945, tes_loss: 0.2414, best_acc: 0.3142, best_epoch: 1
Epoch 7 tra_loss: 1.4526, tra_acc: 0.3024, tes_acc: 1.3470, tes_loss: 0.3142, best_acc: 0.3142, best_epoch: 1
Epoch 8 tra_loss: 1.3994, tra_acc: 0.3214, tes_acc: 1.3776, tes_loss: 0.2414, best_acc: 0.3142, best_epoch: 1
Epoch 9 tra_loss: 1.3650, tra_acc: 0.3333, tes_acc: 1.3227, tes_loss: 0.4828, best_acc: 0.4828, best_epoch: 9
Epoch 10 tra_loss: 1.3236, tra_acc: 0.3938, tes_acc: 1.3366, tes_loss: 0.4138, best_acc: 0.4828, best_epoch: 9
Epoch 11 tra_loss: 1.2709, tra_acc: 0.4058, tes_acc: 1.2299, tes_loss: 0.5900, best_acc: 0.5900, best_epoch: 11
Epoch 12 tra_loss: 1.2433, tra_acc: 0.4205, tes_acc: 1.1731, tes_loss: 0.5517, best_acc: 0.5900, best_epoch: 11
Epoch 13 tra_loss: 1.2264, tra_acc: 0.4402, tes_acc: 1.2118, tes_loss: 0.6820, best_acc: 0.6820, best_epoch: 13
Epoch 14 tra_loss: 1.2390, tra_acc: 0.4283, tes_acc: 1.1505, tes_loss: 0.6398, best_acc: 0.6820, best_epoch: 13
Epoch 15 tra_loss: 1.2057, tra_acc: 0.4536, tes_acc: 1.1810, tes_loss: 0.5556, best_acc: 0.6820, best_epoch: 13
Epoch 16 tra_loss: 1.2220, tra_acc: 0.4522, tes_acc: 1.1545, tes_loss: 0.6475, best_acc: 0.6820, best_epoch: 13
Epoch 17 tra_loss: 1.1120, tra_acc: 0.4733, tes_acc: 1.0369, tes_loss: 0.6284, best_acc: 0.6820, best_epoch: 13
Epoch 18 tra_loss: 1.1393, tra_acc: 0.4606, tes_acc: 1.2520, tes_loss: 0.3563, best_acc: 0.6820, best_epoch: 13
Epoch 19 tra_loss: 1.0808, tra_acc: 0.4859, tes_acc: 1.0223, tes_loss: 0.6437, best_acc: 0.6820, best_epoch: 13
Epoch 20 tra_loss: 1.0309, tra_acc: 0.5028, tes_acc: 1.3487, tes_loss: 0.3180, best_acc: 0.6820, best_epoch: 13
Epoch 21 tra_loss: 1.1138, tra_acc: 0.4677, tes_acc: 1.0636, tes_loss: 0.6207, best_acc: 0.6820, best_epoch: 13
Epoch 22 tra_loss: 1.0193, tra_acc: 0.5077, tes_acc: 1.0388, tes_loss: 0.5364, best_acc: 0.6820, best_epoch: 13
Epoch 23 tra_loss: 1.0650, tra_acc: 0.5014, tes_acc: 1.0796, tes_loss: 0.5977, best_acc: 0.6820, best_epoch: 13
Epoch 24 tra_loss: 1.0150, tra_acc: 0.5218, tes_acc: 1.1346, tes_loss: 0.4138, best_acc: 0.6820, best_epoch: 13
Epoch 25 tra_loss: 1.0254, tra_acc: 0.5232, tes_acc: 1.0688, tes_loss: 0.7280, best_acc: 0.7280, best_epoch: 25
Epoch 26 tra_loss: 1.0067, tra_acc: 0.5323, tes_acc: 1.3956, tes_loss: 0.4215, best_acc: 0.7280, best_epoch: 25
Epoch 27 tra_loss: 0.9963, tra_acc: 0.5309, tes_acc: 0.9452, tes_loss: 0.6552, best_acc: 0.7280, best_epoch: 25
Epoch 28 tra_loss: 0.9624, tra_acc: 0.5506, tes_acc: 1.3296, tes_loss: 0.7280, best_acc: 0.7280, best_epoch: 25
Epoch 29 tra_loss: 1.0172, tra_acc: 0.5323, tes_acc: 1.0457, tes_loss: 0.5249, best_acc: 0.7280, best_epoch: 25
Epoch 30 tra_loss: 0.9656, tra_acc: 0.5570, tes_acc: 1.0011, tes_loss: 0.4598, best_acc: 0.7280, best_epoch: 25
Epoch 31 tra_loss: 0.9311, tra_acc: 0.5626, tes_acc: 1.3172, tes_loss: 0.3142, best_acc: 0.7280, best_epoch: 25
Epoch 32 tra_loss: 0.9115, tra_acc: 0.5710, tes_acc: 1.5731, tes_loss: 0.7280, best_acc: 0.7280, best_epoch: 25
Epoch 33 tra_loss: 1.0268, tra_acc: 0.5267, tes_acc: 0.8385, tes_loss: 0.6820, best_acc: 0.7280, best_epoch: 25
Epoch 34 tra_loss: 0.8967, tra_acc: 0.5921, tes_acc: 1.4222, tes_loss: 0.5556, best_acc: 0.7280, best_epoch: 25
Epoch 35 tra_loss: 0.9366, tra_acc: 0.5921, tes_acc: 0.8264, tes_loss: 0.6437, best_acc: 0.7280, best_epoch: 25
Epoch 36 tra_loss: 0.8675, tra_acc: 0.6174, tes_acc: 2.4613, tes_loss: 0.2414, best_acc: 0.7280, best_epoch: 25
Epoch 37 tra_loss: 0.8111, tra_acc: 0.6203, tes_acc: 1.2522, tes_loss: 0.5709, best_acc: 0.7280, best_epoch: 25
Epoch 38 tra_loss: 0.8475, tra_acc: 0.6371, tes_acc: 1.2479, tes_loss: 0.7280, best_acc: 0.7280, best_epoch: 25
Epoch 39 tra_loss: 0.6707, tra_acc: 0.6821, tes_acc: 1.0166, tes_loss: 0.7280, best_acc: 0.7280, best_epoch: 25
Epoch 40 tra_loss: 0.7737, tra_acc: 0.6744, tes_acc: 0.7324, tes_loss: 0.7510, best_acc: 0.7510, best_epoch: 40
Epoch 41 tra_loss: 0.7340, tra_acc: 0.6744, tes_acc: 1.7017, tes_loss: 0.5556, best_acc: 0.7510, best_epoch: 40
Epoch 42 tra_loss: 0.7600, tra_acc: 0.6744, tes_acc: 1.0910, tes_loss: 0.7241, best_acc: 0.7510, best_epoch: 40
Epoch 43 tra_loss: 0.7159, tra_acc: 0.6842, tes_acc: 1.4645, tes_loss: 0.4138, best_acc: 0.7510, best_epoch: 40
Epoch 44 tra_loss: 0.6861, tra_acc: 0.6976, tes_acc: 1.3130, tes_loss: 0.5211, best_acc: 0.7510, best_epoch: 40
Epoch 45 tra_loss: 0.7345, tra_acc: 0.6835, tes_acc: 1.3369, tes_loss: 0.6935, best_acc: 0.7510, best_epoch: 40
Epoch 46 tra_loss: 1.1824, tra_acc: 0.4916, tes_acc: 1.6302, tes_loss: 0.4138, best_acc: 0.7510, best_epoch: 40
Epoch 47 tra_loss: 0.8854, tra_acc: 0.6153, tes_acc: 0.9784, tes_loss: 0.6628, best_acc: 0.7510, best_epoch: 40
Epoch 48 tra_loss: 0.7415, tra_acc: 0.6716, tes_acc: 1.6268, tes_loss: 0.4138, best_acc: 0.7510, best_epoch: 40
Epoch 49 tra_loss: 0.7733, tra_acc: 0.6547, tes_acc: 1.5010, tes_loss: 0.5019, best_acc: 0.7510, best_epoch: 40
Epoch 50 tra_loss: 0.6461, tra_acc: 0.7046, tes_acc: 2.1545, tes_loss: 0.4406, best_acc: 0.7510, best_epoch: 40
Epoch 51 tra_loss: 0.7375, tra_acc: 0.6814, tes_acc: 0.9680, tes_loss: 0.7280, best_acc: 0.7510, best_epoch: 40
Epoch 52 tra_loss: 0.6661, tra_acc: 0.7096, tes_acc: 3.0579, tes_loss: 0.4176, best_acc: 0.7510, best_epoch: 40
Epoch 53 tra_loss: 1.1000, tra_acc: 0.5408, tes_acc: 1.3488, tes_loss: 0.6628, best_acc: 0.7510, best_epoch: 40
Epoch 54 tra_loss: 0.8062, tra_acc: 0.6217, tes_acc: 2.3741, tes_loss: 0.5556, best_acc: 0.7510, best_epoch: 40
Epoch 55 tra_loss: 0.7501, tra_acc: 0.6610, tes_acc: 3.1588, tes_loss: 0.3946, best_acc: 0.7510, best_epoch: 40
