
---------------------------------------------------------------------start subect:1---------------------------------------------------------------------
 Epoch 1 tra_loss: 50.5070, tra_acc: 0.2602, tes_acc: 18.9048, tes_loss: 0.2138, best_acc: 0.2138, best_epoch: 1
Epoch 2 tra_loss: 16.5069, tra_acc: 0.2496, tes_acc: 4.0062, tes_loss: 0.2103, best_acc: 0.2138, best_epoch: 1
Epoch 3 tra_loss: 8.2131, tra_acc: 0.2870, tes_acc: 6.5690, tes_loss: 0.3310, best_acc: 0.3310, best_epoch: 3
Epoch 4 tra_loss: 8.2108, tra_acc: 0.2620, tes_acc: 6.4097, tes_loss: 0.2138, best_acc: 0.3310, best_epoch: 3
Epoch 5 tra_loss: 7.0251, tra_acc: 0.2299, tes_acc: 1.9910, tes_loss: 0.3034, best_acc: 0.3310, best_epoch: 3
Epoch 6 tra_loss: 5.6460, tra_acc: 0.2656, tes_acc: 1.4015, tes_loss: 0.3310, best_acc: 0.3310, best_epoch: 3
Epoch 7 tra_loss: 5.1527, tra_acc: 0.2709, tes_acc: 1.4529, tes_loss: 0.2448, best_acc: 0.3310, best_epoch: 3
Epoch 8 tra_loss: 3.9854, tra_acc: 0.3102, tes_acc: 1.2358, tes_loss: 0.1172, best_acc: 0.3310, best_epoch: 3
Epoch 9 tra_loss: 4.1082, tra_acc: 0.2923, tes_acc: 3.6806, tes_loss: 0.3310, best_acc: 0.3310, best_epoch: 3
Epoch 10 tra_loss: 4.2297, tra_acc: 0.2834, tes_acc: 1.5954, tes_loss: 0.3310, best_acc: 0.3310, best_epoch: 3
Epoch 11 tra_loss: 3.6000, tra_acc: 0.2995, tes_acc: 2.4573, tes_loss: 0.2724, best_acc: 0.3310, best_epoch: 3
Epoch 12 tra_loss: 3.4832, tra_acc: 0.3137, tes_acc: 2.7477, tes_loss: 0.2448, best_acc: 0.3310, best_epoch: 3
Epoch 13 tra_loss: 3.4436, tra_acc: 0.2852, tes_acc: 2.3975, tes_loss: 0.3310, best_acc: 0.3310, best_epoch: 3
Epoch 14 tra_loss: 3.3643, tra_acc: 0.3030, tes_acc: 1.3326, tes_loss: 0.3034, best_acc: 0.3310, best_epoch: 3
Epoch 15 tra_loss: 3.5242, tra_acc: 0.2620, tes_acc: 1.7523, tes_loss: 0.2414, best_acc: 0.3310, best_epoch: 3
Epoch 16 tra_loss: 3.0240, tra_acc: 0.3119, tes_acc: 1.7727, tes_loss: 0.1310, best_acc: 0.3310, best_epoch: 3
Epoch 17 tra_loss: 2.6498, tra_acc: 0.3476, tes_acc: 1.9696, tes_loss: 0.2138, best_acc: 0.3310, best_epoch: 3
Epoch 18 tra_loss: 2.9738, tra_acc: 0.2870, tes_acc: 1.8699, tes_loss: 0.3310, best_acc: 0.3310, best_epoch: 3
Epoch 19 tra_loss: 2.9899, tra_acc: 0.3226, tes_acc: 1.2609, tes_loss: 0.3034, best_acc: 0.3310, best_epoch: 3
Epoch 20 tra_loss: 2.6089, tra_acc: 0.3369, tes_acc: 2.7563, tes_loss: 0.1759, best_acc: 0.3310, best_epoch: 3
Epoch 21 tra_loss: 3.1494, tra_acc: 0.3333, tes_acc: 1.4432, tes_loss: 0.3897, best_acc: 0.3897, best_epoch: 21
Epoch 22 tra_loss: 2.9291, tra_acc: 0.3066, tes_acc: 1.2269, tes_loss: 0.4897, best_acc: 0.4897, best_epoch: 22
Epoch 23 tra_loss: 2.5428, tra_acc: 0.3547, tes_acc: 2.4960, tes_loss: 0.2724, best_acc: 0.4897, best_epoch: 22
Epoch 24 tra_loss: 2.5408, tra_acc: 0.3636, tes_acc: 1.5691, tes_loss: 0.4310, best_acc: 0.4897, best_epoch: 22
Epoch 25 tra_loss: 2.2661, tra_acc: 0.3583, tes_acc: 1.1285, tes_loss: 0.3931, best_acc: 0.4897, best_epoch: 22
Epoch 26 tra_loss: 2.1547, tra_acc: 0.3708, tes_acc: 1.0779, tes_loss: 0.3034, best_acc: 0.4897, best_epoch: 22
Epoch 27 tra_loss: 2.0385, tra_acc: 0.3779, tes_acc: 1.2331, tes_loss: 0.3034, best_acc: 0.4897, best_epoch: 22
Epoch 28 tra_loss: 2.0376, tra_acc: 0.3904, tes_acc: 1.2985, tes_loss: 0.3241, best_acc: 0.4897, best_epoch: 22
Epoch 29 tra_loss: 2.1049, tra_acc: 0.3743, tes_acc: 0.9742, tes_loss: 0.4897, best_acc: 0.4897, best_epoch: 22
Epoch 30 tra_loss: 1.7921, tra_acc: 0.3868, tes_acc: 1.3847, tes_loss: 0.3241, best_acc: 0.4897, best_epoch: 22
